symbol,gene_id,LOEUF,pLI,mis_z,exp_lof,obs_lof
ABL1,ENSG00000097007,0.19230207246613693,0.9999999999999958,4.50226630176298,94.68184100881112,11.0
ACE,ENSG00000159640,0.8736380337442785,7.628967825190318e-31,-0.6541346462981114,162.30164607995277,122.0
ACHE,ENSG00000087085,0.5176770906385761,0.9482610303574963,3.576647987631912,53.854497607868474,19.0
ADORA1,ENSG00000163485,0.5949641088648107,0.8711033748616624,2.7918617525723395,19.904386627649757,6.0
ADORA2A,ENSG00000128271,0.9884881177301968,0.006612231406705801,1.9362692206032974,18.41955803445814,11.0
ADORA2B,ENSG00000170425,1.2854756513418015,3.200218938216762e-06,-0.3798475852510513,20.764119712126263,18.0
ADORA3,ENSG00000282608,1.3549618288909921,0.1662564566355973,0.9946422096436751,5.722416943862493,3.0
ADRA1A,ENSG00000120907,1.4141233759876264,1.2759670700031432e-11,-0.31183557929131644,29.58555885701343,31.0
ADRA1B,ENSG00000170214,1.4220573096188576,2.308395789691096e-06,0.6522801500204366,17.931225352436506,17.0
ADRA1D,ENSG00000171873,1.6934255435095007,2.99499095095662e-09,0.010884145401591813,18.551043077216836,22.0
ADRB1,ENSG00000043591,,,1.1863836833011454,,
ADRB2,ENSG00000169252,0.9083595567944861,0.0016636339821650163,1.900235237373049,25.42729868076336,15.0
AGER,ENSG00000204305,1.2046980106610883,2.524381978027315e-15,0.4880550978822594,48.822049219535955,46.0
ALOX5,ENSG00000012779,0.8965421924674865,4.571893566164595e-16,1.210485551883987,87.8987762355675,64.0
APP,ENSG00000142192,0.4127209613298042,0.9999931827833107,2.2177737548963834,101.37025809534332,31.0
AR,ENSG00000169083,0.26789597723180747,0.9999999258965238,1.6192595365726652,53.88154710029921,8.0
AVPR1A,ENSG00000166148,1.3299111197626512,4.581875985722761e-11,0.09197939858118334,31.458967257020305,31.0
AVPR2,ENSG00000126895,0.6443696824771261,0.8385899889561417,1.5760230906919255,12.032931931442889,3.0
BACE1,ENSG00000186318,0.5597184991583963,0.6320809032286518,2.4915515573989735,54.027950365475405,21.0
BCR,ENSG00000186716,0.5209051001376047,0.06463054565694797,1.315409697502577,138.5604326107118,58.0
BTK,ENSG00000010671,0.1831070994295915,0.9999999996796237,5.851790366076608,57.414676664593294,5.0
C5,ENSG00000106804,0.7362694859798824,3.4066864818237175e-28,2.5909447390623677,218.78311884087424,140.0
CALCA,ENSG00000110680,1.3274459943439068,0.09498071342248933,0.13814711604729607,6.895586762579913,4.0
CALCB,ENSG00000175868,1.3444366956546108,0.005055487885633043,-0.45315870848530077,10.736578198029651,8.0
CCN2,ENSG00000118523,0.9468093568748299,1.4788691198187571e-05,0.5682370241355418,33.17965752830766,22.0
CCR2,ENSG00000121807,,,0.6514814236886147,,
CCR5,ENSG00000160791,,,-0.8766462115894839,,
CD22,ENSG00000012124,0.6802066440557134,1.147701087026629e-07,1.6949008591827093,94.67998368791869,51.0
CD274,ENSG00000120217,0.47988349883170694,0.9894387413172834,-0.1472680148553096,30.079487522154803,8.0
CD3E,ENSG00000198851,0.7007847405093005,0.04819852164882777,0.8275181569807825,34.677101653192445,16.0
CD80,ENSG00000121594,0.7619186700759187,0.04411955556296786,1.6200470341104134,27.127001722709124,13.0
CD86,ENSG00000114013,0.5676588101621431,0.8646576120622828,0.8429791259347507,32.07474969991737,11.0
CETP,ENSG00000087237,1.0515577072142759,1.5749578380294284e-16,-0.04143881364460976,66.53024029899663,56.0
CSF2,ENSG00000164400,0.4658828699967499,0.9740548798134824,1.2306431180824111,13.513683432739027,2.0
CTLA4,ENSG00000163599,0.3809522002625446,0.9970405563345822,2.3782874339428752,20.353358039641353,3.0
CXCR1,ENSG00000163464,,,0.43739305339488754,,
CXCR2,ENSG00000180871,1.7235052871274334,0.1892926895545214,1.9912922749412743,3.6529006721906776,2.0
CYP17A1,ENSG00000148795,0.9659688578061129,4.637041197478612e-07,1.6263958757971622,38.54592389678078,27.0
CYP19A1,ENSG00000137869,0.9679695772818246,1.868334087451208e-08,0.6712577165322224,44.40475685332528,32.0
CYP46A1,ENSG00000036530,0.45911995275243206,0.9983321559163025,3.718695194605384,63.29940283842319,20.0
DNMT1,ENSG00000130816,0.16439988035454847,1.0,8.085103749234499,205.3067386787594,24.0
DNMT3A,ENSG00000119772,2.512598856977629,1.4132864125860655e-142,2.777358744009416,117.60087789900994,267.0
DRD2,ENSG00000149295,0.3797579045083011,0.9997961472204036,3.5420917761605444,38.010136310094346,8.0
DRD3,ENSG00000151577,0.7671641620005287,0.0029132534895720437,0.7650013660350657,36.34064391999624,19.0
DRD4,ENSG00000069696,1.6299264875973367,1.0280908139937256e-10,-4.75889174564733,22.133886624967868,26.0
EDNRA,ENSG00000151617,0.4396982051328366,0.9985186331864064,4.387064141015424,41.40911661307102,11.0
EDNRB,ENSG00000136160,0.5749560453758593,0.6052442768197127,1.9031855011061471,46.42401889006272,18.0
EGFR,ENSG00000146648,0.504692914125459,0.38906934457929465,2.919355815974126,143.0113916880763,58.0
ESR2,ENSG00000140009,0.958813332697579,1.8378590598779324e-09,-0.3397191638434963,49.58288721420661,36.0
F10,ENSG00000126218,1.065488370424015,1.8077907907637693e-08,2.1270616340492032,37.11065586590015,29.0
FCGRT,ENSG00000104870,0.5792536981911653,0.7686570410855381,0.3902458157223966,35.68137612285498,13.0
FDPS,ENSG00000160752,0.7985033151294959,9.8590536536956e-06,2.0768077205095805,49.51885796180054,29.0
FGA,ENSG00000171560,1.433585420138699,1.633668921970505e-07,0.11716309589008497,20.272261723771074,20.0
FGB,ENSG00000171564,0.6027438353499276,0.0816570063856179,1.0881294367941807,57.928556249195466,25.0
FGG,ENSG00000171557,0.5626308841932925,0.6418320224279535,1.3691534751429626,51.65379231199424,20.0
FKBP1A,ENSG00000088832,0.7428775978729515,0.56208403607985,3.1049683959515337,14.15177269962513,5.0
FLT1,ENSG00000102755,0.39783654625963344,0.9999999663857958,3.3227890048104465,156.2728645382631,49.0
FLT4,ENSG00000037280,0.24928916997194248,1.0,3.49517742655537,163.22613452894595,30.0
FOLR1,ENSG00000110195,0.7979620515034965,0.05847585758086927,1.12625198021962,22.817518974238926,11.0
GAS6,ENSG00000183087,0.7014664502008777,2.0170419169519044e-06,1.1993758650259354,75.8374404166118,41.0
GNRHR,ENSG00000109163,0.7791278315106506,0.02141208480915002,0.3515609540481362,28.091007698230218,14.0
GRIA1,ENSG00000155511,0.42195770025490775,0.9999793704168497,4.706645849453688,99.15124275747553,31.0
GRIA2,ENSG00000120251,0.22500994532146604,0.9999999999999539,6.67374864187894,97.26897129636839,14.0
GRIA3,ENSG00000125675,0.12301326471072997,0.9999999999983294,5.701293484573716,63.03106048088165,3.0
GRIA4,ENSG00000152578,0.4352840735811727,0.9999268626328236,4.462659795002402,103.99096926526788,34.0
GRIN1,ENSG00000176884,0.4834010519122418,0.9843230046447402,8.457052949384208,103.03755745898619,38.0
GRIN2A,ENSG00000183454,0.277069250351326,0.9999999999997278,3.7798582053557195,113.38252139445228,22.0
GRIN2B,ENSG00000273079,0.09177931947216243,1.0,8.082912582046218,114.54688233911168,5.0
GRIN2C,ENSG00000161509,1.0139971653990307,2.4838332910056283e-18,-0.6971386624848904,77.71714187231791,64.0
GRIN2D,ENSG00000105464,0.4718255881861064,0.9956352725692164,3.450324883817174,103.16414880474214,37.0
GRIN3A,ENSG00000198785,0.6485120022124734,5.028004863213447e-06,0.7898461949273515,92.41998520429358,47.0
GRIN3B,ENSG00000116032,1.4110217162090772,2.1402671275409176e-30,-2.39899338126845,65.96133448658952,77.0
GRM5,ENSG00000168959,0.3354389961213168,0.9999999750972306,4.582999434629286,83.11269697862008,19.0
GUCY1A1,ENSG00000164116,0.9470927507108643,1.2530690208408505e-12,0.31596722067537264,64.46450704968888,48.0
