symbol,gene_id,LOEUF,oe_lof,pLI,mis_z,obs_lof,exp_lof,obs_mis,exp_mis,obs_syn,exp_syn
CYP2D6,ENSG00000100197,1.4809840538374943,1.172793402951586,2.3160330190481886e-20,-0.1619134219567468,51.0,43.48591991705237,698,688.041760198836,346,297.08855515008355
LPA,ENSG00000198670,1.130777975608824,1.005399890837265,2.136107517358245e-68,-0.6782383315115139,199.0,197.9311931636268,1853,1785.7966895221048,715,639.4948141658566
SLCO1B1,ENSG00000134538,1.3897183564496676,1.1552310996759294,1.0599735911178316e-31,-1.4381903643662468,81.0,70.11584091072555,895,799.6421307743226,283,271.4589610343437
PCSK9,ENSG00000169174,1.1441346736692857,0.9176378304213768,2.765187110917745e-18,1.2360458676592712,57.0,62.116009290752274,870,959.787192434242,387,409.3918482855569
CYP2C19,ENSG00000165841,1.7936723070559686,1.4440686911884248,9.948487222945414e-27,-2.7429283245674356,59.0,40.85678220157573,754,596.8739792956083,253,208.73346749042855
DPYD,ENSG00000188641,1.0997871251550415,0.9379964393084244,5.14118810675146e-35,-0.5725533256348587,109.0,116.2051319516358,1302,1254.451673225113,440,431.9877851543045
CYP2C9,ENSG00000138109,1.614565168801593,1.2814844602807676,4.863055099115151e-22,-2.83534133117524,52.0,40.57794035879844,742,581.6631154116773,265,205.694354109369
MAPT,ENSG00000186868,0.6663140018008595,0.5004831416432065,0.0002097821928818,2.991546913602262,34.0,67.93435616706253,881,1115.2467840607414,456,464.4551123342305
CETP,ENSG00000087237,1.051557707214276,0.8417224971430707,1.5749578380294284e-16,-0.0414388136446097,56.0,66.53024029899663,612,609.6010428335268,251,245.6561031900254
NUDT15,ENSG00000136159,1.2867519453472984,0.8356570439985755,3.271181292938227e-05,-0.6066233731071593,15.0,17.949947418890623,218,197.9862274707311,85,71.74235189060566
TPMT,ENSG00000137364,0.7812458989174523,0.5268450168876029,0.0033496443526904,0.5797418855578625,18.0,34.16564534734913,265,288.0715732740364,69,92.39117872898838
NF1,ENSG00000196712,0.4353067536853167,0.374542218527421,0.9999949920108552,9.307297662614111,122.0,325.73096960781777,2140,3415.3650018873514,1091,1186.047139803049
PTEN,ENSG00000171862,0.5972332460642497,0.4070208449719125,0.3381560734403222,5.212538710933619,19.0,46.68065587970351,215,483.8388178742001,129,157.5288704041642
HMGCR,ENSG00000113161,0.433003626760854,0.3223667998670253,0.9999335526421148,5.011752898284163,32.0,99.26580532858792,708,1097.2567043267072,343,361.3073682900385
TP53,ENSG00000141510,0.4183620979251529,0.2582140811696815,0.999595868281925,1.121638987172852,12.0,46.47306585931068,464,524.2143317886109,176,191.0778293042532
DRD2,ENSG00000149295,0.3797579045083011,0.2104701739224082,0.9997961472204036,3.5420917761605444,8.0,38.010136310094346,403,607.744734483584,230,238.5620550227497
SCN1A,ENSG00000144285,0.1066831157167667,0.0671009443971427,1.0,8.779151266270532,13.0,193.73795878428143,1432,2451.1254031224794,781,843.639287484459
JAK2,ENSG00000096968,0.738709681829725,0.6174502535225439,1.192797862619491e-16,-0.7023645562885266,86.0,139.28247580978606,1421,1360.2612184885934,490,437.67643029804174
BACE1,ENSG00000186318,0.5597184991583963,0.3886877043816062,0.6320809032286518,2.4915515573989735,21.0,54.027950365475405,511,661.2229036538608,232,260.8989076869055
PTGS2,ENSG00000073756,0.3431556491028322,0.2195043602049604,0.9999991649555448,3.225229993133244,14.0,63.78005424096182,533,738.5090382733785,271,259.4865384578937
UGT1A1,ENSG00000241635,1.086765862552712,0.8127638899979263,7.285356835474177e-10,-0.375893074662869,33.0,40.60219752145263,694,671.1665360345368,249,265.04240117803556
TACR1,ENSG00000115353,0.9752752457799434,0.6982994948413648,1.3652072991851125e-06,0.8368760837067406,25.0,35.801257461426836,478,522.869382440846,195,206.65021487469167
ADRB1,ENSG00000043591,,,,1.1863836833011454,,,635,709.0735461435992,365,347.2505449068685
CCR5,ENSG00000160791,,,,-0.8766462115894839,,,464,421.78542011068646,194,168.10995870753536
